feature,mean_abs_shap
ESM2_dim_202,0.005042701371241803
ESM2_dim_183,0.00448386868518145
ESM2_dim_171,0.004473842006167983
ESM2_dim_102,0.004344103219290463
ESM2_dim_213,0.004196365235055978
ESM2_dim_276,0.0040562532107891154
ESM2_dim_195,0.004016400604633261
ESM2_dim_26,0.003962273520420858
ESM2_dim_307,0.0035379567080414728
ESM2_dim_236,0.0035221448315055854
ESM2_dim_39,0.003493198666330101
ESM2_dim_64,0.00339374085429123
ESM2_dim_114,0.0033705775767267476
ESM2_dim_289,0.0032163797530962864
ESM2_dim_315,0.0031686757784112392
ESM2_dim_135,0.0030712816143657405
ESM2_dim_209,0.00299169817869208
ESM2_dim_7,0.002961050463894716
ESM2_dim_260,0.00270932220515964
ESM2_dim_62,0.0026661295278020258
ESM2_dim_60,0.002618752103925926
ESM2_dim_83,0.0026179451552996095
ESM2_dim_312,0.0025337468088339056
ESM2_dim_14,0.0025071236392648854
ESM2_dim_96,0.002470028296282657
ESM2_dim_130,0.0024653205919564713
ESM2_dim_42,0.002445456484435383
ESM2_dim_156,0.002408506033023006
ESM2_dim_304,0.0022660313462126093
ESM2_dim_184,0.0022492552724728047
